# Hour Bandwidth Gradient IsPeak
0.000 0.334 0.000 0
1.000 0.302 0.012 0
2.000 0.359 0.264 0
3.000 0.829 0.143 0
4.000 0.646 -0.206 0
5.000 0.417 0.379 0
6.000 1.405 0.540 0
7.000 1.498 0.397 0
8.000 2.200 0.487 0
9.000 2.473 0.124 0
10.000 2.447 -0.093 0
11.000 2.286 -0.287 0
12.000 1.872 -0.302 0
13.000 1.681 0.284 0
14.000 2.440 0.366 0
15.000 2.413 -0.179 0
16.000 2.083 -0.399 0
17.000 1.615 -0.212 0
18.000 1.658 -0.002 0
19.000 1.612 -0.075 0
20.000 1.507 0.090 0
21.000 1.793 -0.252 0
22.000 1.004 -0.506 0
23.000 0.782 0.000 0
